chords,count
G,5305
C,4469
D,2689
F,1944
Am,1750
Em,1705
A,1180
E,693
Bm,537
Cadd9,369
Em7,303
F#m,256
Dm,253
D/F#,247
D7,213
Am7,209
B,165
A7,151
Bb,148
E7,139
B7,134
G/B,125
G7,123
Dsus4,114
Cmaj7,113
F#,101
G#m,88
G6,75
C/G,68
Dsus2,65
C/E,63
Dm7,58
Fmaj7,50
C#m,48
G4,48
Aadd9,47
Asus2,45
Asus4,43
G/F#,39
C#m7,36
F/C,33
Gm,33
D#7,32
C7,27
C/B,26
Fm,25
Esus4,23
A/C#,22
Gmaj7,17
Asus,17
G/C,17
Bm/A,16
Bm7,15
Ds4,15
G#,14
C4,14
Badd11,14
Ab,14
Em/C,14
A7sus4,13
Gsus4,13
D5,13
F/G,13
D7sus4,12
G#m7,11
B5,11
A9,11
B/C,11
F/A,11
D/A,10
Em/B,10
Bmaj7,9
G/D,9
D#dim7,9
Csus4,9
Csus2,9
Bbdim,9
A/D,8
Bm/G#,8
Bm/Ab,8
Gm7,8
D6,7
Fmaj7/C,7
F/D,7
G#dim,6
Am/G,6
F#m7,6
D/C#,6
F#m11,5
Amaj7,5
F#dim,5
C#7,5
Gsus2,5
Gsus,4
Em/C#,4
Bm7/A,4
E/G#,4
C#9/F,4
E/B,4
D9,4
Am/E,3
C/D,3
D7/F#,3
A6,3
Gm/Bb,3
Ebmaj7,3
A7/D,3
Dm9,3
B#m,3
E9,3
D5/A,2
B7+,2
D2,2
C#,2
Gb,2
G7sus4,2
Em9,2
Ddim7,2
Eb,2
chords,1
Dadd4,1
A#/A,1
Dmaj7,1
Bsus2,1
D#m,1
A#m,1
Cm,1
C#dim,1
F7,1
D13,1
Abmaj7,1
E7/B,1
Eb6,1
Db13,1
D/C,1
Cmaj,1
C6,1
Gsus2/B,1
Fmaj9,1
Cadd4,1
Db,1
